id_artista,name,followers,genres
172,Bebe Rexha,7531004.0,"dance pop, electropop, pop, post-teen pop, uk pop"
173,Bryant Myers,7479846.0,"latin hip hop, reggaeton, reggaeton flow, trap latino"
174,The Script,7460037.0,"celtic rock, neo mellow, pop, pop rock, uk pop"
175,Young Thug,7455539.0,"atl hip hop, atl trap, gangster rap, hip hop, melodic rap, pop rap, rap, southern hip hop, trap"
176,NF,7430819.0,"hip hop, pop rap, rap"
177,Kesha,7422116.0,"dance pop, pop, post-teen pop, uk pop"
178,Ne-Yo,7403363.0,"dance pop, pop, urban contemporary"
179,Joan Sebastian,7394478.0,"banda, grupera, musica mexicana, norteno, ranchera"
180,2 Chainz,7360903.0,"atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
181,Radiohead,7358519.0,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock"
182,Grupo Firme,7324502.0,"musica mexicana, norteno, nueva musica mexicana, sierreno"
183,Lunay,7253905.0,"latin hip hop, latin pop, reggaeton, reggaeton flow, trap latino"
184,Naiara Azevedo,7229311.0,"funk carioca, sertanejo, sertanejo pop, sertanejo universitario"
185,Udit Narayan,7228372.0,"chutney, classic bollywood, desi pop, filmi"
186,Prince Royce,7222786.0,"bachata, latin hip hop, latin pop"
187,Kumar Sanu,7194253.0,"classic bollywood, desi pop, filmi, modern bollywood"
188,Tulus,7147406.0,"indonesian jazz, indonesian pop, indonesian singer-songwriter"
189,Troye Sivan,7115846.0,"australian pop, dance pop, pop, viral pop"
190,Christina Aguilera,7115205.0,"dance pop, pop, post-teen pop"
191,Muse,7106424.0,"modern rock, permanent wave, rock"
192,Paramore,7092156.0,"candy pop, pixie, pop emo, pop punk"
193,Darshan Raval,7089783.0,"desi pop, gujarati pop, modern bollywood"
194,blink-182,7087305.0,"pop punk, punk, rock, socal pop punk"
195,Soda Stereo,7048441.0,"argentine rock, latin alternative, latin rock, post-punk argentina, rock en espanol, ska argentino"
196,Yuvan Shankar Raja,7045202.0,"filmi, kollywood, tamil pop"
197,Megan Thee Stallion,7034241.0,"dance pop, houston rap, pop, rap, trap queen"
198,Bizarrap,6978398.0,"argentine hip hop, pop venezolano, trap argentino"
